goalkeeper,goal_y,goal_z,outcome,match_date,pressure_context,competition,shooter,shooter_foot
Ederson,2.9931175704367305,1.8559592438444534,Goal,2023-03-01,high,Champions League,Shooter 47,Right
Ederson,1.6844302773887294,2.6428878117316015,Saved,2023-11-07,normal,Champions League,Shooter 120,Right
Ederson,-3.3302023919844146,0.16405697015491935,Goal,2023-10-02,high,Champions League,Shooter 140,Right
Ederson,1.7476869039318,2.00271617936649,Goal,2023-05-09,normal,Champions League,Shooter 117,Right
Ederson,0.2971771849833771,1.2634440555607331,Goal,2023-09-29,high,Champions League,Shooter 86,Right
Ederson,1.45282705419808,1.8162486340638835,Goal,2023-10-12,normal,Champions League,Shooter 144,Left
Ederson,-2.7593209194512376,2.3582985775520595,Missed,2023-12-07,high,Champions League,Shooter 100,Left
Ederson,2.673373810408834,2.5422759586576067,Saved,2023-06-29,normal,Champions League,Shooter 24,Left
Ederson,-2.4634839450714034,1.2354712343238046,Goal,2023-09-04,normal,Champions League,Shooter 179,Right
Ederson,-1.433621194590149,2.5857620713408966,Saved,2023-04-11,high,Champions League,Shooter 95,Left
Ederson,3.1536280850216727,1.8433578971296039,Goal,2023-09-10,normal,Champions League,Shooter 90,Left
Ederson,1.6455000897498222,2.4000960771740942,Goal,2023-04-25,normal,Champions League,Shooter 164,Right
Ederson,-3.52623641810814,1.558047128960364,Missed,2023-10-04,normal,Champions League,Shooter 36,Left
Ederson,3.8151220593615176,2.5439873491402807,Goal,2023-04-06,normal,Champions League,Shooter 99,Right
Ederson,-1.7933585654923299,1.1748441449172444,Goal,2023-10-13,normal,Champions League,Shooter 140,Right
Ederson,2.182567412366408,0.8455551506752164,Goal,2023-08-21,normal,Champions League,Shooter 111,Left
Ederson,2.207534336137676,2.378541425908564,Goal,2023-03-10,normal,Champions League,Shooter 57,Right
Ederson,-1.3408635837790213,0.04972532766284154,Goal,2023-04-19,normal,Champions League,Shooter 75,Left
Ederson,3.3632333866856507,2.3302140763514725,Saved,2023-08-27,high,Champions League,Shooter 141,Left
Ederson,-1.1136122434925466,1.8555055655358208,Goal,2023-06-19,normal,Champions League,Shooter 65,Left
Ederson,2.910342932652829,0.3116942395632791,Goal,2023-05-25,normal,Champions League,Shooter 108,Left
Ederson,1.6268972777574242,2.2184363428188645,Goal,2023-06-16,high,Champions League,Shooter 58,Left
Ederson,-2.00806017236132,0.5191982009364721,Goal,2023-11-13,normal,Champions League,Shooter 113,Right
Ederson,1.232171954912026,0.9008174824739366,Saved,2023-11-08,normal,Champions League,Shooter 149,Left
Ederson,-0.6570461531486187,1.5089158995649163,Saved,2023-08-01,high,Champions League,Shooter 49,Left
Ederson,0.5238206485977475,1.2319396299275058,Goal,2023-05-23,normal,Champions League,Shooter 74,Left
Courtois,-0.5921660532701871,1.0574278321541475,Goal,2023-12-24,normal,Champions League,Shooter 178,Left
Courtois,-1.3668173122394602,1.511363925477573,Goal,2023-08-08,normal,Champions League,Shooter 157,Right
Courtois,3.841219978451474,0.3708087613872465,Goal,2023-02-15,normal,Champions League,Shooter 10,Left
Courtois,-1.2598638478373096,1.2250523965214641,Missed,2023-10-13,normal,Champions League,Shooter 177,Right
Courtois,3.9196714421649905,0.7494858415907807,Goal,2023-12-07,normal,Champions League,Shooter 99,Right
Courtois,-2.5732954456713335,2.447420567028275,Goal,2023-11-07,normal,Champions League,Shooter 53,Right
Courtois,-3.356303497679883,1.962490342370807,Saved,2023-07-21,high,Champions League,Shooter 4,Left
Courtois,2.0473555270075705,0.01974442040696845,Goal,2023-10-15,normal,Champions League,Shooter 3,Right
Courtois,3.9144899537243276,0.9686833187954255,Goal,2023-11-02,normal,Champions League,Shooter 47,Right
Courtois,0.8114188156015025,2.5838044422221973,Missed,2023-07-26,normal,Champions League,Shooter 50,Left
Courtois,3.7441037142983085,2.0899473656507372,Goal,2023-12-04,normal,Champions League,Shooter 30,Right
Courtois,0.7886149232925135,1.2988186590720936,Goal,2023-04-16,normal,Champions League,Shooter 84,Left
Courtois,-0.40588033412039815,1.0761264040598777,Goal,2023-03-10,normal,Champions League,Shooter 111,Right
Courtois,1.735580191677826,0.12355618365797502,Goal,2023-05-31,normal,Champions League,Shooter 184,Right
Courtois,0.27114815213895427,1.9792256686566254,Goal,2023-07-14,normal,Champions League,Shooter 170,Right
Courtois,1.6520977758386042,0.4100931035491259,Goal,2023-01-22,high,Champions League,Shooter 78,Left
Courtois,1.576415865230752,0.42821940071010095,Goal,2023-10-28,normal,Champions League,Shooter 107,Right
Courtois,2.069263320553034,0.7175191390158246,Goal,2023-02-17,normal,Champions League,Shooter 47,Right
Courtois,-2.5815204368906643,0.6412592946384037,Saved,2023-02-25,high,Champions League,Shooter 115,Right
Courtois,-0.1398831042496107,2.2540293671449705,Saved,2023-01-03,high,Champions League,Shooter 28,Left
Courtois,1.8945661786807744,0.29147264343834406,Goal,2023-02-08,high,Champions League,Shooter 25,Left
Courtois,-1.098792033687453,2.2580248222185073,Goal,2023-03-08,normal,Champions League,Shooter 113,Left
Courtois,-0.36420109157963065,1.4648663447851251,Goal,2023-03-24,normal,Champions League,Shooter 109,Left
Courtois,-1.059258622829726,1.0260446338740554,Saved,2023-08-17,high,Champions League,Shooter 75,Left
Courtois,1.0553960295062912,0.07140803363886157,Goal,2023-11-14,normal,Champions League,Shooter 36,Left
Courtois,-1.4115139431547652,1.6603013420456425,Saved,2023-08-11,normal,Champions League,Shooter 179,Left
Courtois,-0.06219217222374418,0.7463384772453361,Missed,2023-07-13,high,Champions League,Shooter 68,Right
Courtois,-2.5853271381064182,2.4094347851235556,Saved,2023-07-31,normal,Champions League,Shooter 126,Right
Courtois,2.9156678704795898,0.32861512854380753,Goal,2023-12-22,normal,Champions League,Shooter 138,Left
Courtois,-3.3201094517807506,1.496537422779297,Goal,2023-01-13,normal,Champions League,Shooter 152,Left
Courtois,3.601442318243934,0.6639173277383591,Goal,2023-04-04,normal,Champions League,Shooter 137,Left
Courtois,-2.0212078663955424,2.2912810707301214,Saved,2023-03-17,normal,Champions League,Shooter 105,Right
Courtois,1.7685896804757513,2.50497150100593,Goal,2023-09-27,normal,Champions League,Shooter 132,Right
Courtois,0.8421545089943949,2.1708300686274944,Goal,2023-08-25,normal,Champions League,Shooter 166,Right
Courtois,-3.379992103957998,2.5806213702143657,Goal,2023-01-23,normal,Champions League,Shooter 104,Left
Courtois,3.8393517700479785,0.5586601672335619,Goal,2023-02-08,normal,Champions League,Shooter 15,Right
Courtois,-2.469687232482772,0.8879464281722206,Goal,2023-06-06,normal,Champions League,Shooter 155,Right
Courtois,2.8516054586064152,0.6785882303092146,Goal,2023-10-16,normal,Champions League,Shooter 38,Right
Courtois,0.27652793971288325,0.44703662924165183,Goal,2023-06-08,normal,Champions League,Shooter 68,Left
Courtois,3.182842346727157,2.2630247545793605,Saved,2023-06-22,high,Champions League,Shooter 11,Left
Courtois,1.9370271246900654,0.3770012075542298,Goal,2023-11-26,high,Champions League,Shooter 141,Left
Courtois,0.989849597791443,0.829585271410415,Goal,2023-07-29,normal,Champions League,Shooter 120,Right
Courtois,-2.461310078354609,2.3199763912807416,Goal,2023-11-24,normal,Champions League,Shooter 40,Right
Courtois,-3.6976544176051833,2.6565086670764777,Saved,2023-08-02,normal,Champions League,Shooter 57,Right
Courtois,1.937146307741891,0.5410260104768903,Goal,2023-11-15,normal,Champions League,Shooter 180,Right
ter Stegen,-2.9368895881121815,1.3682820866147514,Goal,2023-06-03,normal,Champions League,Shooter 162,Right
ter Stegen,1.9927646021615955,2.294092439141477,Saved,2023-01-17,high,Champions League,Shooter 161,Right
ter Stegen,1.9176595615965293,1.0792858980636915,Missed,2023-10-12,normal,Champions League,Shooter 105,Right
ter Stegen,0.005838727481105366,0.5298926654148389,Goal,2023-05-28,high,Champions League,Shooter 123,Left
ter Stegen,-2.7498210180615175,1.4462286284754367,Goal,2023-07-30,normal,Champions League,Shooter 19,Left
ter Stegen,0.06487811641136298,2.172278844775023,Goal,2023-09-14,normal,Champions League,Shooter 63,Left
ter Stegen,-1.9888325906043063,0.2423486507010665,Goal,2023-09-21,normal,Champions League,Shooter 87,Right
ter Stegen,-1.2579246599407339,0.197555224120325,Goal,2023-10-15,high,Champions League,Shooter 72,Left
ter Stegen,3.699519488311053,2.275482210457196,Goal,2023-09-06,normal,Champions League,Shooter 88,Left
ter Stegen,-1.47842603270868,1.015562845412165,Goal,2023-10-15,normal,Champions League,Shooter 7,Left
ter Stegen,-1.2594243376956396,1.0514775372299197,Goal,2023-09-20,normal,Champions League,Shooter 2,Right
ter Stegen,-0.3642624955610593,1.810463018630271,Goal,2023-10-30,normal,Champions League,Shooter 137,Left
ter Stegen,-1.4676296704110419,1.569609156802187,Goal,2023-02-22,high,Champions League,Shooter 120,Right
ter Stegen,-2.705641759708576,2.2360873137349104,Goal,2023-08-03,normal,Champions League,Shooter 25,Right
ter Stegen,-1.7707362677458716,1.7661179408261614,Goal,2023-07-20,normal,Champions League,Shooter 37,Right
ter Stegen,0.8380447795505361,1.333300770624795,Goal,2023-11-22,high,Champions League,Shooter 122,Left
ter Stegen,-3.626150501776601,1.1246785843448086,Goal,2023-03-28,high,Champions League,Shooter 98,Left
ter Stegen,-2.469304010261,0.7459151972286833,Goal,2023-08-25,normal,Champions League,Shooter 46,Left
ter Stegen,-2.029450244141591,0.9636908144533626,Goal,2023-05-10,normal,Champions League,Shooter 149,Right
ter Stegen,-2.0801474331580643,1.1544383269046259,Goal,2023-10-23,normal,Champions League,Shooter 111,Left
ter Stegen,-2.708374305040458,1.1302209879290535,Goal,2023-09-03,normal,Champions League,Shooter 81,Left
ter Stegen,-2.335702089083675,1.312071204743329,Goal,2023-12-31,normal,Champions League,Shooter 129,Right
ter Stegen,1.9878934287484151,0.7290010627300377,Goal,2023-03-02,normal,Champions League,Shooter 102,Left
ter Stegen,-3.634694255446373,2.625711244900514,Saved,2023-01-12,normal,Champions League,Shooter 62,Left
ter Stegen,0.6890353491333405,1.5344519630530935,Missed,2023-08-04,normal,Champions League,Shooter 89,Left
ter Stegen,3.8506384369632576,0.03508986211797025,Goal,2023-05-23,normal,Champions League,Shooter 151,Left
ter Stegen,0.6145229660790292,1.061413134729211,Goal,2023-03-27,high,Champions League,Shooter 82,Right
ter Stegen,-2.407959424452918,1.0947078651860558,Goal,2023-04-13,high,Champions League,Shooter 37,Right
ter Stegen,-3.1581747979922703,0.48014725021405014,Goal,2023-07-02,normal,Champions League,Shooter 161,Left
ter Stegen,-3.9348499132440433,1.6643879977718277,Goal,2023-04-18,high,Champions League,Shooter 141,Left
ter Stegen,-3.9746738922119103,0.046888614019733446,Saved,2023-04-06,high,Champions League,Shooter 185,Left
ter Stegen,2.228109138421887,0.46504208055472557,Saved,2023-08-24,normal,Champions League,Shooter 173,Left
ter Stegen,-0.7086033822072396,1.8174629387763621,Missed,2023-06-07,high,Champions League,Shooter 73,Right
ter Stegen,-3.4172621194002786,1.7354654537157006,Goal,2023-11-01,normal,Champions League,Shooter 198,Right
ter Stegen,-0.8856897033950799,2.662140077261909,Missed,2023-11-15,high,Champions League,Shooter 63,Left
ter Stegen,-0.3083189734332761,1.812691424309686,Goal,2023-08-31,normal,Champions League,Shooter 5,Right
ter Stegen,-2.6162448209740328,2.3115739244630036,Goal,2023-02-23,normal,Champions League,Shooter 163,Left
ter Stegen,1.0571801538029022,0.41240886591190173,Goal,2023-12-04,normal,Champions League,Shooter 89,Right
ter Stegen,-0.11323061992193861,2.128141091811538,Goal,2023-03-09,high,Champions League,Shooter 195,Right
ter Stegen,2.2085671455375557,0.829114644603901,Goal,2023-08-14,normal,Champions League,Shooter 124,Right
ter Stegen,-2.0684682964514782,1.331329404220106,Goal,2023-02-07,high,Champions League,Shooter 28,Right
ter Stegen,-1.6426402614029785,1.3493103281948189,Goal,2023-03-22,normal,Champions League,Shooter 40,Left
ter Stegen,-1.654057936431728,2.489709159230166,Goal,2023-02-09,normal,Champions League,Shooter 59,Left
ter Stegen,-3.362697616426283,1.7177804119536675,Goal,2023-06-18,high,Champions League,Shooter 188,Right
ter Stegen,1.408090245702273,0.7349769080026388,Goal,2023-05-13,high,Champions League,Shooter 158,Right
ter Stegen,-3.4843352515519275,0.07484741977650634,Goal,2023-03-23,normal,Champions League,Shooter 104,Right
ter Stegen,0.8476872585295792,0.11431935910294032,Saved,2023-12-20,high,Champions League,Shooter 63,Left
ter Stegen,-1.987624113085114,1.5920382138649625,Goal,2023-03-01,high,Champions League,Shooter 68,Right
ter Stegen,3.2218872522890205,1.3114807607072287,Saved,2023-07-11,high,Champions League,Shooter 50,Left
ter Stegen,-2.2709783721169066,1.4190123147134055,Saved,2023-07-11,normal,Champions League,Shooter 33,Left
Neuer,-2.809439773974082,0.24352773299068264,Goal,2023-03-20,normal,Champions League,Shooter 141,Right
Neuer,-1.7573410703245003,1.577812274214956,Saved,2023-02-08,high,Champions League,Shooter 195,Right
Neuer,-2.0475089211802597,2.5894768147435583,Missed,2023-08-24,normal,Champions League,Shooter 147,Right
Neuer,-2.0657914641203075,2.443794940707558,Goal,2023-09-14,high,Champions League,Shooter 24,Left
Neuer,-0.9064063361771566,0.18129411185588404,Saved,2023-10-01,high,Champions League,Shooter 27,Left
Neuer,3.4574502003969534,2.0418094962756954,Missed,2023-02-19,normal,Champions League,Shooter 148,Left
Neuer,-3.6657539348191905,0.6101531056337846,Saved,2023-01-15,normal,Champions League,Shooter 188,Right
Neuer,0.24010207743575585,1.2755896065847736,Saved,2023-08-02,normal,Champions League,Shooter 21,Left
Neuer,2.1087390851538395,1.508533878652623,Goal,2023-11-16,normal,Champions League,Shooter 136,Right
Neuer,1.9762601923529484,0.8781297080077604,Goal,2023-08-02,high,Champions League,Shooter 86,Left
Neuer,-1.9286013554328072,2.617701378766824,Goal,2023-05-28,high,Champions League,Shooter 158,Right
Neuer,-2.9402148525417386,1.8981170210983238,Goal,2023-03-18,normal,Champions League,Shooter 143,Left
Neuer,-3.7208038663071514,2.3464229220938364,Saved,2023-04-16,normal,Champions League,Shooter 6,Right
Neuer,3.2231915869339467,0.7751625201340162,Goal,2023-12-25,normal,Champions League,Shooter 62,Right
Neuer,-2.523486121579471,1.4217535177424176,Goal,2023-09-08,normal,Champions League,Shooter 127,Right
Neuer,-1.1694634565851003,1.9999218782690305,Goal,2023-07-07,high,Champions League,Shooter 122,Right
Neuer,0.9890751920685026,0.3859532472211861,Saved,2023-02-24,high,Champions League,Shooter 198,Left
Neuer,-1.3397884441284993,2.647565914310637,Goal,2023-07-30,normal,Champions League,Shooter 35,Right
Neuer,-1.7559920752405875,1.9350320695546457,Goal,2023-04-03,normal,Champions League,Shooter 24,Left
Neuer,-3.0093265028311107,2.6590081117250914,Goal,2023-10-20,high,Champions League,Shooter 96,Right
Neuer,-1.6679599543219665,1.6916246589700201,Saved,2023-09-07,normal,Champions League,Shooter 115,Left
Neuer,2.993320778114499,2.3420885958823434,Saved,2023-09-03,normal,Champions League,Shooter 8,Left
Neuer,-0.8486013057927573,2.5404027330989254,Saved,2023-08-28,normal,Champions League,Shooter 60,Right
Neuer,-3.040846903702626,0.5277262577770854,Goal,2023-04-21,high,Champions League,Shooter 28,Left
Neuer,-1.9348267544167763,1.8964775580393314,Goal,2023-06-12,normal,Champions League,Shooter 139,Left
Neuer,2.480469688177022,0.22135570260299062,Goal,2023-07-14,normal,Champions League,Shooter 64,Left
Neuer,-2.03380661977474,2.3707860295834067,Goal,2023-10-11,normal,Champions League,Shooter 44,Left
Neuer,1.8795960307981714,0.9896084612639778,Saved,2023-06-05,high,Champions League,Shooter 37,Left
Neuer,-3.6739665295932284,2.1824571351722573,Goal,2023-10-09,normal,Champions League,Shooter 179,Left
Neuer,-1.365697571699879,2.6389556398280805,Missed,2023-01-12,high,Champions League,Shooter 50,Right
Neuer,0.04148543602080568,0.43507345642865897,Saved,2023-07-04,normal,Champions League,Shooter 128,Left
Neuer,-1.4906811555553325,2.4322800373237943,Goal,2023-10-28,high,Champions League,Shooter 8,Right
Neuer,-1.4278639563695346,2.0072228070083042,Missed,2023-12-18,normal,Champions League,Shooter 171,Left
Neuer,-1.7815578991176464,2.5495018639999825,Saved,2023-04-24,normal,Champions League,Shooter 89,Left
Neuer,0.44414423519581336,1.4036948606734558,Saved,2023-10-16,normal,Champions League,Shooter 192,Left
Neuer,3.982209622747538,0.6696607087278595,Goal,2023-03-04,high,Champions League,Shooter 68,Left
Neuer,-2.217525660545229,2.49898288832772,Goal,2023-04-12,normal,Champions League,Shooter 83,Right
Neuer,3.0630293389810292,1.1822592928177222,Goal,2023-11-27,normal,Champions League,Shooter 143,Right
Neuer,-3.3657571705655456,2.1121940945501128,Saved,2023-11-12,high,Champions League,Shooter 99,Left
Neuer,-0.09710584349047746,2.1180093443595145,Goal,2023-04-20,normal,Champions League,Shooter 198,Left
Neuer,2.3451223021582384,0.35495227499824145,Goal,2023-04-27,normal,Champions League,Shooter 15,Right
Neuer,0.57320581288407,2.2438983779119477,Goal,2023-12-09,normal,Champions League,Shooter 80,Right
Neuer,3.0780305274216997,0.3382663129541127,Goal,2023-04-27,high,Champions League,Shooter 19,Left
Neuer,-0.5722380807812854,1.1634880687843951,Goal,2023-11-30,normal,Champions League,Shooter 144,Left
Oblak,-1.3921436127709144,2.5126248738801378,Saved,2023-06-07,normal,Champions League,Shooter 108,Left
Oblak,-3.2116069677817722,0.7061324597515752,Goal,2023-02-08,high,Champions League,Shooter 84,Left
Oblak,0.07048785644905742,0.09995086652598506,Goal,2023-09-20,high,Champions League,Shooter 21,Left
Oblak,1.8961597225549651,1.4337730800773827,Goal,2023-08-08,normal,Champions League,Shooter 72,Left
Oblak,-0.5265190651194452,1.5414426801512149,Goal,2023-07-27,normal,Champions League,Shooter 89,Left
Oblak,2.4619326504785164,1.0261555827374207,Goal,2023-06-13,high,Champions League,Shooter 161,Right
Oblak,1.3931150247437183,1.4613546353945068,Goal,2023-05-29,normal,Champions League,Shooter 138,Right
Oblak,2.6563675131539823,0.8791291129912497,Goal,2023-03-19,high,Champions League,Shooter 67,Left
Oblak,-3.957757684985895,2.0835701217820564,Goal,2023-05-05,normal,Champions League,Shooter 102,Left
Oblak,1.5420497152005943,0.9662358421408233,Goal,2023-10-15,normal,Champions League,Shooter 136,Right
Oblak,-2.8187654695966122,1.6303581707937655,Saved,2023-03-11,normal,Champions League,Shooter 160,Right
Oblak,0.4791509367351807,1.9854379783470708,Saved,2023-09-21,normal,Champions League,Shooter 130,Right
Oblak,-1.3420670898196336,2.1772535925659016,Goal,2023-06-21,normal,Champions League,Shooter 186,Left
Oblak,1.7851760949243598,0.36443528917463147,Goal,2023-11-29,normal,Champions League,Shooter 12,Right
Oblak,-2.933826504789147,0.1356502518640715,Goal,2023-05-16,normal,Champions League,Shooter 108,Right
Oblak,-2.3350262130326316,0.9693207445832548,Saved,2023-05-01,normal,Champions League,Shooter 16,Left
Oblak,1.498501118321331,0.9947076353414672,Goal,2023-02-07,high,Champions League,Shooter 105,Right
Oblak,2.690963738827034,0.7345046363272781,Missed,2023-09-15,high,Champions League,Shooter 55,Left
Oblak,-0.289826250265256,1.3360261692719888,Goal,2023-05-23,normal,Champions League,Shooter 173,Right
Oblak,1.7072123915656006,1.0786644169029924,Goal,2023-06-07,normal,Champions League,Shooter 163,Left
Oblak,1.2164788817996022,2.2900068717484556,Goal,2023-12-13,normal,Champions League,Shooter 54,Right
Oblak,-2.3813046562048905,2.460680722803666,Goal,2023-06-13,high,Champions League,Shooter 169,Left
Oblak,-1.1486616570345871,1.8029725971850434,Missed,2023-01-25,high,Champions League,Shooter 188,Left
Oblak,2.9167563039999385,1.7234397647564579,Goal,2023-10-15,normal,Champions League,Shooter 191,Left
Oblak,2.984299839577205,1.4686789722343565,Goal,2023-06-09,high,Champions League,Shooter 162,Left
Oblak,3.9862930668432783,0.9414246992867663,Missed,2023-12-11,normal,Champions League,Shooter 83,Right
Oblak,3.4197984287868786,1.1261947941774932,Goal,2023-04-09,high,Champions League,Shooter 97,Left
Oblak,-3.378836412037642,1.976514340509219,Goal,2023-09-17,high,Champions League,Shooter 166,Right
Oblak,3.6972332546920463,1.290308337450977,Goal,2023-06-27,high,Champions League,Shooter 92,Left
Oblak,2.3635002900961344,1.7478018251792924,Goal,2023-01-14,high,Champions League,Shooter 149,Left
Oblak,3.3599738277361006,1.0120276380988091,Goal,2023-08-18,normal,Champions League,Shooter 181,Left
Oblak,2.321660875625876,1.126607511622339,Goal,2023-06-22,normal,Champions League,Shooter 183,Right
Oblak,3.6386432470149153,1.106695391880332,Goal,2023-10-09,normal,Champions League,Shooter 180,Right
Donnarumma,-1.4492563870345117,2.480344013767213,Goal,2023-02-11,normal,Champions League,Shooter 60,Left
Donnarumma,1.1446482336686108,2.005222005192698,Goal,2023-01-29,normal,Champions League,Shooter 34,Left
Donnarumma,-3.8220390517029577,2.241383139531232,Goal,2023-08-02,high,Champions League,Shooter 193,Right
Donnarumma,-1.22886188368837,2.4441244591588362,Goal,2023-04-11,normal,Champions League,Shooter 152,Right
Donnarumma,-0.3903512533845094,0.26391666734601316,Goal,2023-05-13,normal,Champions League,Shooter 135,Right
Donnarumma,0.13197867629233917,1.6291756662003074,Goal,2023-01-28,high,Champions League,Shooter 111,Left
Donnarumma,0.7161335732494356,0.5559505762802948,Saved,2023-08-08,normal,Champions League,Shooter 49,Left
Donnarumma,3.8927368032627303,0.4256472121725721,Goal,2023-11-20,normal,Champions League,Shooter 164,Left
Donnarumma,2.6276613929500314,1.709064491285273,Goal,2023-12-13,normal,Champions League,Shooter 11,Left
Donnarumma,0.26209399132041256,1.8645604121031512,Goal,2023-09-28,normal,Champions League,Shooter 114,Left
Donnarumma,3.6980894835587494,2.354771623263133,Goal,2023-08-01,high,Champions League,Shooter 119,Right
Donnarumma,0.3619482315213347,1.9767464005938182,Goal,2023-09-25,normal,Champions League,Shooter 135,Right
Donnarumma,-0.47864084549418395,2.4503367289629283,Goal,2023-08-24,high,Champions League,Shooter 13,Left
Donnarumma,0.6011065605608861,2.5078289435726813,Goal,2023-09-15,high,Champions League,Shooter 88,Left
Donnarumma,-2.642677339733533,2.0448181216737504,Goal,2023-10-05,normal,Champions League,Shooter 39,Left
Donnarumma,-0.10225711804335891,0.008305141646113033,Goal,2023-10-08,high,Champions League,Shooter 193,Left
Donnarumma,1.010311852605557,2.3652286783724406,Goal,2023-04-14,normal,Champions League,Shooter 46,Right
Donnarumma,-0.3846770472959331,2.4775746881920035,Saved,2023-08-07,normal,Champions League,Shooter 90,Left
Donnarumma,3.888056191918745,0.32746726865885517,Saved,2023-02-23,normal,Champions League,Shooter 70,Left
Donnarumma,-2.9710463922635437,1.462595010121488,Saved,2023-07-30,normal,Champions League,Shooter 154,Right
Donnarumma,-0.8555289257425027,0.025873528506118824,Goal,2023-08-18,high,Champions League,Shooter 173,Left
Donnarumma,-2.638007067628137,1.5338302413949347,Goal,2023-09-30,high,Champions League,Shooter 132,Left
Donnarumma,0.27170741317959957,1.8004102020285575,Goal,2023-09-11,normal,Champions League,Shooter 150,Left
Donnarumma,1.890278126266613,1.6243662942228425,Goal,2023-04-19,normal,Champions League,Shooter 94,Right
Donnarumma,-0.3420174750176983,1.8356625819386578,Goal,2023-04-23,normal,Champions League,Shooter 57,Left
Donnarumma,-2.2977327838644865,2.2215880818607654,Goal,2023-04-28,high,Champions League,Shooter 47,Left
Donnarumma,3.8673350503246797,0.18061336714166296,Missed,2023-05-04,normal,Champions League,Shooter 3,Right
